sample_id	technology	variable	value
samp41	exome	prop_HPO	0.10539216
samp42	exome	prop_HPO	0.18295218
samp43	exome	prop_HPO	0.18257956
samp44	genome	prop_HPO	0.1
samp45	genome	prop_HPO	0.23170732
samp46	exome	prop_HPO	0.16483516
samp47	genome	prop_HPO	0.02654867
samp48	genome	prop_HPO	0.09090909
samp49	genome	prop_HPO	0.02
samp50	exome	prop_HPO	0.15909091
samp51	genome	prop_HPO	0.13653137
samp52	exome	prop_HPO	0.07585335
samp53	exome	prop_HPO	0.20588235
samp54	exome	prop_HPO	0.06666667
samp55	exome	prop_HPO	0.17687075
samp56	genome	prop_HPO	0.17857143
samp57	genome	prop_HPO	0.17948718
samp58	exome	prop_HPO	0.15634006
samp59	genome	prop_HPO	0.1846473
samp60	genome	prop_HPO	0.08898305
samp61	exome	prop_HPO	0.0228013
samp62	exome	prop_HPO	0.09574468
samp63	exome	prop_HPO	0.17431193
samp64	exome	prop_HPO	0.16393443
samp65	genome	prop_HPO	0.16998012
samp66	exome	prop_HPO	0.22641509
samp67	exome	prop_HPO	0.13533835
samp68	genome	prop_HPO	0.16830189
samp69	genome	prop_HPO	0.1816
samp70	exome	prop_HPO	0.16774194
samp71	exome	prop_HPO	0.04878049
samp1	exome	prop_RV	0
samp2	exome	prop_RV	0
samp3	genome	prop_RV	1
samp4	genome	prop_RV	0
samp5	genome	prop_RV	0.21940393
samp6	genome	prop_RV	0.22331691
samp7	genome	prop_RV	0.13340935
samp8	genome	prop_RV	0.11562116
samp9	genome	prop_RV	0.12778272
samp10	genome	prop_RV	0.17488789
samp11	genome	prop_RV	0.37565445
samp12	genome	prop_RV	0.19891989
samp13	genome	prop_RV	0.20084746
samp14	genome	prop_RV	0.125
samp15	genome	prop_RV	0.18302048
samp16	genome	prop_RV	0.06666667
samp17	genome	prop_RV	0.19965278
samp18	genome	prop_RV	0.46496815
samp19	exome	prop_RV	0
samp20	exome	prop_RV	0.02755906
samp21	exome	prop_RV	0.05
samp22	exome	prop_RV	0.0273752
samp23	exome	prop_RV	0.04444444
samp24	genome	prop_RV	0.6406821
samp25	exome	prop_RV	0.01913614
samp26	exome	prop_RV	0.01923077
samp27	exome	prop_RV	0
samp28	exome	prop_RV	0.02659574
samp29	exome	prop_RV	0.00934579
samp30	exome	prop_RV	0.00263852
samp31	exome	prop_RV	0.00877193
samp32	exome	prop_RV	0.0026455
samp33	exome	prop_RV	0.00801749
samp34	exome	prop_RV	0.02040816
samp35	exome	prop_RV	0
samp36	genome	prop_RV	0.48138639
samp37	exome	prop_RV	0.01881114
samp38	exome	prop_RV	0.02086107
samp39	genome	prop_RV	0.59210526
samp40	genome	prop_RV	0.61211477
samp41	exome	prop_RV	0.01552288
samp42	exome	prop_RV	0.01663202
samp43	exome	prop_RV	0.01619207
samp44	genome	prop_RV	0.7
samp45	genome	prop_RV	0.52439024
samp46	exome	prop_RV	0.01098901
samp47	genome	prop_RV	0.45132743
samp48	genome	prop_RV	0.63636364
samp49	genome	prop_RV	0.44
samp50	exome	prop_RV	0.00757576
samp51	genome	prop_RV	0.56457565
samp52	exome	prop_RV	0.01896334
samp53	exome	prop_RV	0.02521008
samp54	exome	prop_RV	0
samp55	exome	prop_RV	0.02040816
samp56	genome	prop_RV	0.69047619
samp57	genome	prop_RV	0.60683761
samp58	exome	prop_RV	0.0259366
samp59	genome	prop_RV	0.62966805
samp60	genome	prop_RV	0.63559322
samp61	exome	prop_RV	0.0228013
samp62	exome	prop_RV	0.02735562
samp63	exome	prop_RV	0.05045872
samp64	exome	prop_RV	0.04371585
samp65	genome	prop_RV	0.53777336
samp66	exome	prop_RV	0.01886792
samp67	exome	prop_RV	0.02255639
samp68	genome	prop_RV	0.71622642
samp69	genome	prop_RV	0.7016
samp70	exome	prop_RV	0.42903226
samp71	exome	prop_RV	0.02439024
samp1	exome	prop_RVpLI	0
samp2	exome	prop_RVpLI	0
samp3	genome	prop_RVpLI	0
samp4	genome	prop_RVpLI	0
samp5	genome	prop_RVpLI	0.06531389
samp6	genome	prop_RVpLI	0.06403941
samp7	genome	prop_RVpLI	0.04066895
samp8	genome	prop_RVpLI	0.03444034
samp9	genome	prop_RVpLI	0.0445236
samp10	genome	prop_RVpLI	0.05829596
samp11	genome	prop_RVpLI	0.10209424
samp12	genome	prop_RVpLI	0.0540054
samp13	genome	prop_RVpLI	0.0559322
samp14	genome	prop_RVpLI	0
samp15	genome	prop_RVpLI	0.05716724
samp16	genome	prop_RVpLI	0
samp17	genome	prop_RVpLI	0.05208333
samp18	genome	prop_RVpLI	0.15286624
samp19	exome	prop_RVpLI	0
samp20	exome	prop_RVpLI	0.00787402
samp21	exome	prop_RVpLI	0
samp22	exome	prop_RVpLI	0.00483092
samp23	exome	prop_RVpLI	0
samp24	genome	prop_RVpLI	0.19975639
samp25	exome	prop_RVpLI	0.00437397
samp26	exome	prop_RVpLI	0.00641026
samp27	exome	prop_RVpLI	0
samp28	exome	prop_RVpLI	0
samp29	exome	prop_RVpLI	0
samp30	exome	prop_RVpLI	0.00263852
samp31	exome	prop_RVpLI	0
samp32	exome	prop_RVpLI	0.0026455
samp33	exome	prop_RVpLI	0.00145773
samp34	exome	prop_RVpLI	0
samp35	exome	prop_RVpLI	0
samp36	genome	prop_RVpLI	0.15275995
samp37	exome	prop_RVpLI	0.00451467
samp38	exome	prop_RVpLI	0.00621394
samp39	genome	prop_RVpLI	0.19590643
samp40	genome	prop_RVpLI	0.18065887
samp41	exome	prop_RVpLI	0.00571895
samp42	exome	prop_RVpLI	0.0031185
samp43	exome	prop_RVpLI	0.00558347
samp44	genome	prop_RVpLI	0.23333333
samp45	genome	prop_RVpLI	0.15853659
samp46	exome	prop_RVpLI	0
samp47	genome	prop_RVpLI	0.14159292
samp48	genome	prop_RVpLI	0.31818182
samp49	genome	prop_RVpLI	0.12
samp50	exome	prop_RVpLI	0.00757576
samp51	genome	prop_RVpLI	0.18819188
samp52	exome	prop_RVpLI	0.00505689
samp53	exome	prop_RVpLI	0.00420168
samp54	exome	prop_RVpLI	0
samp55	exome	prop_RVpLI	0.00340136
samp56	genome	prop_RVpLI	0.23809524
samp57	genome	prop_RVpLI	0.12820513
samp58	exome	prop_RVpLI	0.00576369
samp59	genome	prop_RVpLI	0.18257261
samp60	genome	prop_RVpLI	0.16101695
samp61	exome	prop_RVpLI	0.00977199
samp62	exome	prop_RVpLI	0.00911854
samp63	exome	prop_RVpLI	0
samp64	exome	prop_RVpLI	0.01092896
samp65	genome	prop_RVpLI	0.15606362
samp66	exome	prop_RVpLI	0
samp67	exome	prop_RVpLI	0.0075188
samp68	genome	prop_RVpLI	0.23698113
samp69	genome	prop_RVpLI	0.228
samp70	exome	prop_RVpLI	0.09032258
samp71	exome	prop_RVpLI	0
samp1	exome	prop_CADD	0
samp2	exome	prop_CADD	0
samp3	genome	prop_CADD	0
samp4	genome	prop_CADD	0
samp5	genome	prop_CADD	0.02409639
samp6	genome	prop_CADD	0.01970443
samp7	genome	prop_CADD	0.01254276
samp8	genome	prop_CADD	0.01271013
samp9	genome	prop_CADD	0.01024043
samp10	genome	prop_CADD	0.02690583
samp11	genome	prop_CADD	0.04973822
samp12	genome	prop_CADD	0.01260126
samp13	genome	prop_CADD	0.02542373
samp14	genome	prop_CADD	0
samp15	genome	prop_CADD	0.01834471
samp16	genome	prop_CADD	0.06666667
samp17	genome	prop_CADD	0.03645833
samp18	genome	prop_CADD	0.08280255
samp19	exome	prop_CADD	0
samp20	exome	prop_CADD	0.00393701
samp21	exome	prop_CADD	0
samp22	exome	prop_CADD	0.00966184
samp23	exome	prop_CADD	0.02222222
samp24	genome	prop_CADD	0.17661389
samp25	exome	prop_CADD	0.00218699
samp26	exome	prop_CADD	0.00641026
samp27	exome	prop_CADD	0
samp28	exome	prop_CADD	0.00531915
samp29	exome	prop_CADD	0.00934579
samp30	exome	prop_CADD	0.00263852
samp31	exome	prop_CADD	0.00877193
samp32	exome	prop_CADD	0.0026455
samp33	exome	prop_CADD	0.00145773
samp34	exome	prop_CADD	0
samp35	exome	prop_CADD	0
samp36	genome	prop_CADD	0.06931964
samp37	exome	prop_CADD	0.00300978
samp38	exome	prop_CADD	0.00443853
samp39	genome	prop_CADD	0.15643275
samp40	genome	prop_CADD	0.15727949
samp41	exome	prop_CADD	0.00245098
samp42	exome	prop_CADD	0.002079
samp43	exome	prop_CADD	0.00335008
samp44	genome	prop_CADD	0.06666667
samp45	genome	prop_CADD	0.13414634
samp46	exome	prop_CADD	0.01098901
samp47	genome	prop_CADD	0.0619469
samp48	genome	prop_CADD	0.13636364
samp49	genome	prop_CADD	0.04
samp50	exome	prop_CADD	0
samp51	genome	prop_CADD	0.07749077
samp52	exome	prop_CADD	0.00379267
samp53	exome	prop_CADD	0.00420168
samp54	exome	prop_CADD	0
samp55	exome	prop_CADD	0.00680272
samp56	genome	prop_CADD	0.13095238
samp57	genome	prop_CADD	0.11111111
samp58	exome	prop_CADD	0.00648415
samp59	genome	prop_CADD	0.17012448
samp60	genome	prop_CADD	0.1059322
samp61	exome	prop_CADD	0.00325733
samp62	exome	prop_CADD	0.01215805
samp63	exome	prop_CADD	0.02752294
samp64	exome	prop_CADD	0.02185792
samp65	genome	prop_CADD	0.08946322
samp66	exome	prop_CADD	0.00943396
samp67	exome	prop_CADD	0
samp68	genome	prop_CADD	0.16679245
samp69	genome	prop_CADD	0.2216
samp70	exome	prop_CADD	0.06666667
samp71	exome	prop_CADD	0.02439024
samp1	exome	prop_RVHPO	0
samp2	exome	prop_RVHPO	0
samp3	genome	prop_RVHPO	1
samp4	genome	prop_RVHPO	0
samp5	genome	prop_RVHPO	0.03170577
samp6	genome	prop_RVHPO	0.02134647
samp7	genome	prop_RVHPO	0.01406309
samp8	genome	prop_RVHPO	0.02173022
samp9	genome	prop_RVHPO	0.02404274
samp10	genome	prop_RVHPO	0.02690583
samp11	genome	prop_RVHPO	0.05890052
samp12	genome	prop_RVHPO	0.00540054
samp13	genome	prop_RVHPO	0.01016949
samp14	genome	prop_RVHPO	0
samp15	genome	prop_RVHPO	0.00853242
samp16	genome	prop_RVHPO	0
samp17	genome	prop_RVHPO	0.01388889
samp18	genome	prop_RVHPO	0.07643312
samp19	exome	prop_RVHPO	0
samp20	exome	prop_RVHPO	0.00393701
samp21	exome	prop_RVHPO	0
samp22	exome	prop_RVHPO	0.00483092
samp23	exome	prop_RVHPO	0.04444444
samp24	genome	prop_RVHPO	0.0816078
samp25	exome	prop_RVHPO	0.00218699
samp26	exome	prop_RVHPO	0.00213675
samp27	exome	prop_RVHPO	0
samp28	exome	prop_RVHPO	0
samp29	exome	prop_RVHPO	0
samp30	exome	prop_RVHPO	0
samp31	exome	prop_RVHPO	0
samp32	exome	prop_RVHPO	0
samp33	exome	prop_RVHPO	0.00145773
samp34	exome	prop_RVHPO	0
samp35	exome	prop_RVHPO	0
samp36	genome	prop_RVHPO	0.10911425
samp37	exome	prop_RVHPO	0.00300978
samp38	exome	prop_RVHPO	0.00355082
samp39	genome	prop_RVHPO	0.04897661
samp40	genome	prop_RVHPO	0.10626993
samp41	exome	prop_RVHPO	0.00326797
samp42	exome	prop_RVHPO	0.00519751
samp43	exome	prop_RVHPO	0.00502513
samp44	genome	prop_RVHPO	0.1
samp45	genome	prop_RVHPO	0.14634146
samp46	exome	prop_RVHPO	0.01098901
samp47	genome	prop_RVHPO	0.00884956
samp48	genome	prop_RVHPO	0.04545455
samp49	genome	prop_RVHPO	0
samp50	exome	prop_RVHPO	0
samp51	genome	prop_RVHPO	0.06642066
samp52	exome	prop_RVHPO	0.00252845
samp53	exome	prop_RVHPO	0
samp54	exome	prop_RVHPO	0
samp55	exome	prop_RVHPO	0
samp56	genome	prop_RVHPO	0.14285714
samp57	genome	prop_RVHPO	0.11111111
samp58	exome	prop_RVHPO	0.00576369
samp59	genome	prop_RVHPO	0.12240664
samp60	genome	prop_RVHPO	0.06355932
samp61	exome	prop_RVHPO	0
samp62	exome	prop_RVHPO	0.00303951
samp63	exome	prop_RVHPO	0.01834862
samp64	exome	prop_RVHPO	0.00546448
samp65	genome	prop_RVHPO	0.10039761
samp66	exome	prop_RVHPO	0.00943396
samp67	exome	prop_RVHPO	0.0075188
samp68	genome	prop_RVHPO	0.11924528
samp69	genome	prop_RVHPO	0.14
samp70	exome	prop_RVHPO	0.07526882
samp71	exome	prop_RVHPO	0
samp1	exome	prop_RVHPOCADD	0
samp2	exome	prop_RVHPOCADD	0
samp3	genome	prop_RVHPOCADD	0
samp4	genome	prop_RVHPOCADD	0
samp5	genome	prop_RVHPOCADD	0.00380469
samp6	genome	prop_RVHPOCADD	0.00328407
samp7	genome	prop_RVHPOCADD	0.00114025
samp8	genome	prop_RVHPOCADD	0.00205002
samp9	genome	prop_RVHPOCADD	0.00267142
samp10	genome	prop_RVHPOCADD	0.00896861
samp11	genome	prop_RVHPOCADD	0.0065445
samp12	genome	prop_RVHPOCADD	0
samp13	genome	prop_RVHPOCADD	0.00169492
samp14	genome	prop_RVHPOCADD	0
samp15	genome	prop_RVHPOCADD	0
samp16	genome	prop_RVHPOCADD	0
samp17	genome	prop_RVHPOCADD	0
samp18	genome	prop_RVHPOCADD	0.00636943
samp19	exome	prop_RVHPOCADD	0
samp20	exome	prop_RVHPOCADD	0
samp21	exome	prop_RVHPOCADD	0
samp22	exome	prop_RVHPOCADD	0.00322061
samp23	exome	prop_RVHPOCADD	0.02222222
samp24	genome	prop_RVHPOCADD	0.02436054
samp25	exome	prop_RVHPOCADD	0
samp26	exome	prop_RVHPOCADD	0
samp27	exome	prop_RVHPOCADD	0
samp28	exome	prop_RVHPOCADD	0
samp29	exome	prop_RVHPOCADD	0
samp30	exome	prop_RVHPOCADD	0
samp31	exome	prop_RVHPOCADD	0
samp32	exome	prop_RVHPOCADD	0
samp33	exome	prop_RVHPOCADD	0
samp34	exome	prop_RVHPOCADD	0
samp35	exome	prop_RVHPOCADD	0
samp36	genome	prop_RVHPOCADD	0.01540436
samp37	exome	prop_RVHPOCADD	0
samp38	exome	prop_RVHPOCADD	0.00088771
samp39	genome	prop_RVHPOCADD	0.01388889
samp40	genome	prop_RVHPOCADD	0.02656748
samp41	exome	prop_RVHPOCADD	0.00081699
samp42	exome	prop_RVHPOCADD	0
samp43	exome	prop_RVHPOCADD	0.00055835
samp44	genome	prop_RVHPOCADD	0
samp45	genome	prop_RVHPOCADD	0.01219512
samp46	exome	prop_RVHPOCADD	0.01098901
samp47	genome	prop_RVHPOCADD	0
samp48	genome	prop_RVHPOCADD	0
samp49	genome	prop_RVHPOCADD	0
samp50	exome	prop_RVHPOCADD	0
samp51	genome	prop_RVHPOCADD	0.02214022
samp52	exome	prop_RVHPOCADD	0
samp53	exome	prop_RVHPOCADD	0
samp54	exome	prop_RVHPOCADD	0
samp55	exome	prop_RVHPOCADD	0
samp56	genome	prop_RVHPOCADD	0.02380952
samp57	genome	prop_RVHPOCADD	0.01709402
samp58	exome	prop_RVHPOCADD	0.00216138
samp59	genome	prop_RVHPOCADD	0.03423237
samp60	genome	prop_RVHPOCADD	0.01271186
samp61	exome	prop_RVHPOCADD	0
samp62	exome	prop_RVHPOCADD	0.00303951
samp63	exome	prop_RVHPOCADD	0.00458716
samp64	exome	prop_RVHPOCADD	0.00546448
samp65	genome	prop_RVHPOCADD	0.02087475
samp66	exome	prop_RVHPOCADD	0
samp67	exome	prop_RVHPOCADD	0
samp68	genome	prop_RVHPOCADD	0.02566038
samp69	genome	prop_RVHPOCADD	0.0456
samp70	exome	prop_RVHPOCADD	0.01612903
samp71	exome	prop_RVHPOCADD	0
samp1	exome	prop_combined	0
samp2	exome	prop_combined	0
samp3	genome	prop_combined	0
samp4	genome	prop_combined	0
samp5	genome	prop_combined	0.00190235
samp6	genome	prop_combined	0
samp7	genome	prop_combined	0.00076017
samp8	genome	prop_combined	0.00123001
samp9	genome	prop_combined	0.00222618
samp10	genome	prop_combined	0
samp11	genome	prop_combined	0.0013089
samp12	genome	prop_combined	0
samp13	genome	prop_combined	0
samp14	genome	prop_combined	0
samp15	genome	prop_combined	0
samp16	genome	prop_combined	0
samp17	genome	prop_combined	0
samp18	genome	prop_combined	0
samp19	exome	prop_combined	0
samp20	exome	prop_combined	0
samp21	exome	prop_combined	0
samp22	exome	prop_combined	0
samp23	exome	prop_combined	0
samp24	genome	prop_combined	0.01096224
samp25	exome	prop_combined	0
samp26	exome	prop_combined	0
samp27	exome	prop_combined	0
samp28	exome	prop_combined	0
samp29	exome	prop_combined	0
samp30	exome	prop_combined	0
samp31	exome	prop_combined	0
samp32	exome	prop_combined	0
samp33	exome	prop_combined	0
samp34	exome	prop_combined	0
samp35	exome	prop_combined	0
samp36	genome	prop_combined	0.00641849
samp37	exome	prop_combined	0
samp38	exome	prop_combined	0.00044385
samp39	genome	prop_combined	0.00730994
samp40	genome	prop_combined	0.0063762
samp41	exome	prop_combined	0
samp42	exome	prop_combined	0
samp43	exome	prop_combined	0.00055835
samp44	genome	prop_combined	0
samp45	genome	prop_combined	0.01219512
samp46	exome	prop_combined	0
samp47	genome	prop_combined	0
samp48	genome	prop_combined	0
samp49	genome	prop_combined	0
samp50	exome	prop_combined	0
samp51	genome	prop_combined	0.01107011
samp52	exome	prop_combined	0
samp53	exome	prop_combined	0
samp54	exome	prop_combined	0
samp55	exome	prop_combined	0
samp56	genome	prop_combined	0.02380952
samp57	genome	prop_combined	0
samp58	exome	prop_combined	0.00072046
samp59	genome	prop_combined	0.01348548
samp60	genome	prop_combined	0
samp61	exome	prop_combined	0
samp62	exome	prop_combined	0.00151976
samp63	exome	prop_combined	0
samp64	exome	prop_combined	0
samp65	genome	prop_combined	0.00596421
samp66	exome	prop_combined	0
samp67	exome	prop_combined	0
samp68	genome	prop_combined	0.00528302
samp69	genome	prop_combined	0.0176
samp70	exome	prop_combined	0.00215054
samp71	exome	prop_combined	0
